timestamp,player_1_id,player_2_id,score_1,score_2,discipline,context
2023-11-20 21:02:00,daniel_r,justas,4,5,NINE_BALL,Liga
2023-11-22 15:40:00,sinas,mike,5,1,NINE_BALL,Liga
2023-11-22 21:18:00,lionel,stefan,3,9,NINE_BALL,Liga
2023-11-22 22:03:00,karol,sinas,5,2,NINE_BALL,Liga
2023-11-22 23:17:00,lionel,simon,5,9,NINE_BALL,Liga
2023-11-23 17:27:00,daniel_r,martha,5,1,NINE_BALL,Liga
2023-11-23 21:47:00,stefan,simon,9,6,NINE_BALL,Liga
2023-11-24 22:49:00,mario,simon,9,5,NINE_BALL,Liga
2023-11-28 19:43:00,stefan,mario,9,6,NINE_BALL,Liga
2023-11-28 21:01:00,lionel,mario,9,5,NINE_BALL,Liga
2023-11-29 20:43:00,daniel_r,daniel_a,5,0,NINE_BALL,Liga
2023-11-29 20:45:00,dmitrijs,martha,5,1,NINE_BALL,Liga
2023-11-29 20:46:00,daniel_a,martha,5,1,NINE_BALL,Liga
2023-11-29 21:06:00,dmitrijs,justas,2,5,NINE_BALL,Liga
2023-11-29 22:03:00,daniel_a,justas,3,5,NINE_BALL,Liga
2023-11-29 22:55:00,justas,martha,5,1,NINE_BALL,Liga
2023-11-30 21:12:00,bob,karol,4,5,NINE_BALL,Liga
